member_id,chamber,party,district,roles,committees,party_divisions,career,as_of,member_company_offices,source_url,verified
# 【重要】以下は構造実証用の合成データです。実在議員の情報ではありません。本番では公式名簿(衆議院/参議院)から検証済みデータを投入してください(verified=yes)。
M-0001,衆,与党,東京1区,経済産業大臣政務官,経済産業委員会;環境委員会,環境部会;経済産業部会,元・地方議員/2012初当選,2026-06-24,あり(A社 東京本社),,no
M-0002,衆,与党,大阪5区,,経済産業委員会,経済産業部会;資源エネルギー調査会,元・民間企業/2017初当選,2026-06-24,あり(B社 大阪支社),,no
M-0003,衆,与党,北海道3区,環境副大臣,環境委員会,環境部会,元・官僚/2009初当選,2026-06-24,なし,,no
M-0004,参,与党,比例,,経済産業委員会;資源エネルギーに関する調査会,資源エネルギー調査会,元・エネルギー業界/2019初当選,2026-06-24,あり(C社 事業所複数),,no
M-0005,衆,与党,愛知8区,党環境部会長,環境委員会,環境部会,元・地方議員/2014初当選,2026-06-24,あり(A社 名古屋工場),,no
M-0006,衆,与党,福岡2区,,経済産業委員会,経済産業部会,元・民間企業/2021初当選,2026-06-24,なし,,no
M-0007,参,与党,比例,経済産業副大臣,経済産業委員会;資源エネルギーに関する調査会,経済産業部会;資源エネルギー調査会,元・官僚/2016初当選,2026-06-24,あり(D社 本社),,no
M-0008,衆,与党,神奈川4区,,環境委員会,環境部会,元・NPO/2021初当選,2026-06-24,なし,,no
M-0009,衆,与党,広島6区,,経済産業委員会;環境委員会,経済産業部会;環境部会,元・地方議員/2012初当選,2026-06-24,あり(B社 広島営業所),,no
M-0010,参,与党,選挙区(埼玉),,資源エネルギーに関する調査会,資源エネルギー調査会,元・研究者/2019初当選,2026-06-24,なし,,no
M-0011,衆,与党,宮城1区,,環境委員会,環境部会,元・地方議員/2017初当選,2026-06-24,あり(C社 仙台事業所),,no
M-0012,衆,与党,京都3区,,経済産業委員会,経済産業部会,元・民間企業/2014初当選,2026-06-24,なし,,no
